date,location,matched_cities,ratio,median_price,monthly_payment,median_hhi,interest_rate,cities_matched
2019-01-01,"Albany, OR","Albany, OR",26.59%,329500.0,1343.46514084106,60624.0,4.55,1
2020-01-01,"Albany, OR","Albany, OR",24.28%,339900.0,1257.7614380143764,62172.0,3.74,1
2021-01-01,"Albany, OR","Albany, OR",23.09%,390450.0,1261.984861410098,65587.0,2.67,1
2022-01-01,"Albany, OR","Albany, OR",24.94%,423925.0,1450.0260835939273,69777.0,3.11,1
2023-01-01,"Albany, OR","Albany, OR",34.21%,419675.0,2104.4721142575017,73809.0,6.42,1
2017-01-01,"Albany-Schenectady-Troy, NY","Albany, NY, Schenectady, NY, Troy, NY",27.07%,242345.0,961.7151667182837,42625.0,4.32,3
2018-01-01,"Albany-Schenectady-Troy, NY","Albany, NY, Schenectady, NY, Troy, NY",28.84%,277450.0,1058.3917619063063,44043.333333333336,3.99,3
2019-01-01,"Albany-Schenectady-Troy, NY","Albany, NY, Schenectady, NY, Troy, NY",32.11%,299663.0,1221.8112124426543,45663.666666666664,4.55,3
2020-01-01,"Albany-Schenectady-Troy, NY","Albany, NY, Schenectady, NY, Troy, NY",27.16%,295825.0,1094.6668943824739,48373.0,3.74,3
2021-01-01,"Albany-Schenectady-Troy, NY","Albany, NY, Schenectady, NY, Troy, NY",26.21%,344950.0,1114.9229810306394,51041.333333333336,2.67,3
2022-01-01,"Albany-Schenectady-Troy, NY","Albany, NY, Schenectady, NY, Troy, NY",26.24%,349900.0,1196.8252088211714,54741.0,3.11,3
2023-01-01,"Albany-Schenectady-Troy, NY","Albany, NY, Schenectady, NY, Troy, NY",37.79%,363311.0,1821.8332478775417,57857.0,6.42,3
2017-01-01,"Albemarle, NC","Albemarle, NC",30.34%,233700.0,927.4085888384861,36682.0,4.32,1
2018-01-01,"Albemarle, NC","Albemarle, NC",29.32%,249700.0,952.5335121571624,38988.0,3.99,1
2019-01-01,"Albemarle, NC","Albemarle, NC",27.62%,249900.0,1018.913319260033,44269.0,4.55,1
2020-01-01,"Albemarle, NC","Albemarle, NC",26.26%,261928.0,969.2348865437765,44294.0,3.74,1
2021-01-01,"Albemarle, NC","Albemarle, NC",19.51%,217500.0,702.9881095062012,43231.0,2.67,1
2022-01-01,"Albemarle, NC","Albemarle, NC",26.13%,329000.0,1125.3372212122474,51673.0,3.11,1
2023-01-01,"Albemarle, NC","Albemarle, NC",34.69%,304500.0,1526.9238310392789,52825.0,6.42,1
2017-01-01,"Albert Lea, MN","Albert Lea, MN",11.61%,106150.0,421.2427116183368,43532.0,4.32,1
2018-01-01,"Albert Lea, MN","Albert Lea, MN",9.12%,88700.0,338.3649280269936,44513.0,3.99,1
2019-01-01,"Albert Lea, MN","Albert Lea, MN",14.25%,138325.0,563.9903356808486,47508.0,4.55,1
2020-01-01,"Albert Lea, MN","Albert Lea, MN",13.50%,139625.0,516.6664924470648,45929.0,3.74,1
2021-01-01,"Albert Lea, MN","Albert Lea, MN",9.53%,125400.0,405.309006584265,51047.0,2.67,1
2022-01-01,"Albert Lea, MN","Albert Lea, MN",9.32%,128000.0,437.8211681312087,56347.0,3.11,1
2023-01-01,"Albert Lea, MN","Albert Lea, MN",18.30%,190150.0,953.5125335701769,62522.0,6.42,1
2017-01-01,"Albertville, AL","Albertville, AL",21.51%,169900.0,674.2264409228018,37619.0,4.32,1
2018-01-01,"Albertville, AL","Albertville, AL",20.56%,179900.0,686.2666353106669,40047.0,3.99,1
2019-01-01,"Albertville, AL","Albertville, AL",23.41%,219500.0,894.9638798622537,45867.0,4.55,1
2020-01-01,"Albertville, AL","Albertville, AL",19.32%,222288.0,822.5515579092079,51095.0,3.74,1
2021-01-01,"Albertville, AL","Albertville, AL",18.67%,249000.0,804.8001805381338,51718.0,2.67,1
2022-01-01,"Albertville, AL","Albertville, AL",20.87%,284400.0,972.7839079415294,55933.0,3.11,1
2023-01-01,"Albertville, AL","Albertville, AL",37.07%,351823.0,1764.2263481370517,57103.0,6.42,1
2017-01-01,"Albuquerque, NM","Albuquerque, NM",21.96%,229995.0,912.7057697471442,49878.0,4.32,1
2018-01-01,"Albuquerque, NM","Albuquerque, NM",21.40%,239000.0,911.7160969385735,51128.0,3.99,1
2019-01-01,"Albuquerque, NM","Albuquerque, NM",22.92%,247850.0,1010.5548866690643,52911.0,4.55,1
2020-01-01,"Albuquerque, NM","Albuquerque, NM",22.31%,271046.0,1002.9750124390843,53936.0,3.74,1
2021-01-01,"Albuquerque, NM","Albuquerque, NM",21.38%,310775.0,1004.4649642840905,56366.0,2.67,1
2022-01-01,"Albuquerque, NM","Albuquerque, NM",24.63%,369000.0,1262.1563362532502,61503.0,3.11,1
2023-01-01,"Albuquerque, NM","Albuquerque, NM",34.62%,377450.0,1892.733661825208,65604.0,6.42,1
2017-01-01,"Alexandria, LA","Alexandria, LA",23.71%,184225.0,731.0733730370993,36997.0,4.32,1
2018-01-01,"Alexandria, LA","Alexandria, LA",21.21%,187000.0,713.3510883996371,40353.0,3.99,1
2019-01-01,"Alexandria, LA","Alexandria, LA",20.21%,179700.0,732.6879690717403,43497.0,4.55,1
2020-01-01,"Alexandria, LA","Alexandria, LA",19.09%,179923.0,665.7846755276865,41845.0,3.74,1
2021-01-01,"Alexandria, LA","Alexandria, LA",18.61%,210000.0,678.7471402128839,43760.0,2.67,1
2022-01-01,"Alexandria, LA","Alexandria, LA",15.48%,185000.0,632.7884070646376,49049.0,3.11,1
2023-01-01,"Alexandria, LA","Alexandria, LA",25.57%,201213.0,1008.9882588338471,47357.0,6.42,1
2017-01-01,"Alexandria, MN","Alexandria, MN",23.77%,229675.0,911.4358906353415,46009.0,4.32,1
2018-01-01,"Alexandria, MN","Alexandria, MN",23.01%,249900.0,953.2964544976967,49708.0,3.99,1
2019-01-01,"Alexandria, MN","Alexandria, MN",25.80%,279375.0,1139.0912707813995,52984.0,4.55,1
2020-01-01,"Alexandria, MN","Alexandria, MN",23.51%,288900.0,1069.041716511778,54572.0,3.74,1
2021-01-01,"Alexandria, MN","Alexandria, MN",21.46%,299900.0,969.3155588087806,54193.0,2.67,1
2022-01-01,"Alexandria, MN","Alexandria, MN",16.11%,225000.0,769.6075221056404,57309.0,3.11,1
2023-01-01,"Alexandria, MN","Alexandria, MN",30.16%,308500.0,1546.9819437622907,61558.0,6.42,1
2017-01-01,"Alice, TX","Alice, TX",17.29%,138000.0,547.6353669649598,38011.0,4.32,1
2018-01-01,"Alice, TX","Alice, TX",20.92%,165625.0,631.8116257550262,36250.0,3.99,1
2019-01-01,"Alice, TX","Alice, TX",20.06%,147875.0,602.9283997021904,36059.0,4.55,1
2020-01-01,"Alice, TX","Alice, TX",17.85%,159900.0,591.691832711088,39770.0,3.74,1
2021-01-01,"Alice, TX","Alice, TX",17.42%,188000.0,607.6402969524867,41865.0,2.67,1
2022-01-01,"Alice, TX","Alice, TX",14.26%,149500.0,511.3614424657477,43017.0,3.11,1
2023-01-01,"Alice, TX","Alice, TX",20.40%,159250.0,798.5636127849102,46963.0,6.42,1
2017-01-01,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",23.49%,190000.0,753.9907226329155,38522.0,4.32,1
2018-01-01,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",23.74%,209950.0,800.8987219759562,40490.0,3.99,1
2019-01-01,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",25.54%,214900.0,876.2083725849584,41167.0,4.55,1
2020-01-01,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",23.73%,234125.0,866.3530352312912,43816.0,3.74,1
2021-01-01,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",22.68%,279000.0,901.764057711403,47703.0,2.67,1
2022-01-01,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",23.75%,303450.0,1037.9440114798072,52449.0,3.11,1
2023-01-01,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",40.28%,357450.0,1792.4430982101485,53403.0,6.42,1
